Line,bus0,bus1,x,r,s_nom,s_nom_extendable,length,carrier,capital_cost
84,124,62,0.001,0.001,1350.99963,TRUE,44.00439598,AC,100
85,125,19,0.001,0.001,1711.266198,TRUE,96.14836459,AC,100
86,125,29,0.001,0.001,2701.99926,TRUE,18.41698234,AC,100
87,125,49,0.001,0.001,2454.315995,TRUE,23.67564036,AC,100
88,125,77,0.001,0.001,2206.632729,TRUE,28.5664132,AC,100
89,125,98,0.001,0.001,2701.99926,TRUE,18.70246198,AC,100
9,100,192,0.001,0.001,1711.266198,TRUE,18.38800979,AC,100
90,126,27,0.001,0.001,1283.449648,TRUE,71.04002792,AC,100
91,127,132,0.001,0.001,495.366531,TRUE,60.8922686,AC,100
92,127,5,0.001,0.001,495.366531,TRUE,78.29847075,AC,100
93,128,14,0.001,0.001,1711.266198,TRUE,24.5085879,AC,100
94,128,164,0.001,0.001,1283.449648,TRUE,96.85478732,AC,100
95,128,34,0.001,0.001,2566.899296,TRUE,93.62114346,AC,100
96,128,45,0.001,0.001,1711.266198,TRUE,58.98587783,AC,100
97,128,66,0.001,0.001,990.733062,TRUE,56.02269954,AC,100
98,129,43,0.001,0.001,1711.266198,TRUE,22.78210126,AC,100
99,13,15,0.001,0.001,495.366531,TRUE,99.33286699,AC,100
